Producto,Talle,PRECIO,Cantidad,Multimedia
NB Negro y Blanco,39,55000,1,https://drive.google.com/drive/folders/1Hde2NziQT6IZ1LEB7nSumPiVPg8ump7C?usp=drive_link
NB Negro y Blanco,40,55000,1,https://drive.google.com/drive/folders/1Hde2NziQT6IZ1LEB7nSumPiVPg8ump7C?usp=drive_link
Nike Zoom mujer,34,40000,1,https://drive.google.com/drive/folders/11SAYXxBhxG4S4Y-tNscv9SzEfa9D-bQ1?usp=drive_link
Nike Zoom mujer,35,40000,1,https://drive.google.com/drive/folders/11SAYXxBhxG4S4Y-tNscv9SzEfa9D-bQ1?usp=drive_link
Nike Zoom mujer,39,40000,1,https://drive.google.com/drive/folders/11SAYXxBhxG4S4Y-tNscv9SzEfa9D-bQ1?usp=drive_link
NB Beige y Rosa,35,48000,1,https://drive.google.com/drive/folders/121L0TKwUWv-vcVQyviJ5RyQPfFk2Wj_1?usp=drive_link
NB Beige y Rosa,36,48000,1,https://drive.google.com/drive/folders/121L0TKwUWv-vcVQyviJ5RyQPfFk2Wj_1?usp=drive_link
NB Beige y Rosa,37,48000,1,https://drive.google.com/drive/folders/121L0TKwUWv-vcVQyviJ5RyQPfFk2Wj_1?usp=drive_link
NB Beige y Rosa,39,48000,1,https://drive.google.com/drive/folders/121L0TKwUWv-vcVQyviJ5RyQPfFk2Wj_1?usp=drive_link
NB Beige y Rosa,40,48000,1,https://drive.google.com/drive/folders/121L0TKwUWv-vcVQyviJ5RyQPfFk2Wj_1?usp=drive_link
